,Name,Absorption Score,LUMO Score,Charge Transfer Score,HOMO Energy,LUMO energy,Total Score
0,9ed_36b_9ea,100.98849999999999,100.44552506872817,17.549999999999997,3.21,-3.6033305992325766,FAIL
1,2ed_2b_13ea,51.943250000000006,97.22691614160064,44.17,7.42,-3.625738142053593,193.34016614160066
2,9ed_28b_1ea,85.4245,48.484025810350026,7.81,0.93,-3.2991811577061325,FAIL
3,20ed_30b_12ea,57.40100000000001,95.99588220626396,12.567499999999999,2.53,-3.528528948933007,FAIL
4,9ed_16b_7ea,54.461749999999995,0.18546865325350503,18.14,2.41,-2.7132898174742603,FAIL
5,19ed_41b_1ea,69.2525,94.47053627095255,4.7825,0.84,-3.5156775640797764,FAIL
6,10ed_29b_1ea,76.40950000000001,7.864866724801505,12.610000000000001,3.89,-3.0362220522477332,FAIL
7,1ed_29b_4ea,75.27825000000001,36.996234676025786,13.945,4.06,-3.247446095604668,126.21948467602579
8,6ed_36b_1ea,75.8425,83.21627433414015,15.73,1.71,-3.4484549356167276,FAIL
9,6ed_16b_5ea,57.99924999999999,0.022577009797137178,13.385000000000002,4.22,-2.5755493336627175,71.40682700979713
10,6ed_39b_4ea,65.71199999999999,88.15904727114113,13.7675,0.87,-3.4744872280117325,FAIL
11,6ed_29b_3ea,73.74100000000001,1.5575256862625098,8.1225,2.63,-2.878710207123529,FAIL
12,11ed_28b_8ea,80.75524999999999,84.10711452530622,19.2275,5.31,-3.6596789789736626,184.08986452530618
13,16ed_33b_13ea,62.785000000000004,37.67567406228864,46.837500000000006,8.03,-3.740082514978486,147.29817406228864
14,16ed_39b_8ea,57.63999999999999,79.62200328429435,16.345,2.03,-3.6682465688758157,FAIL
15,3ed_28b_12ea,79.28825,67.32307182110172,10.3125,3.43,-3.3776075575796902,FAIL
16,2ed_10b_13ea,52.85175000000001,75.41768683295412,42.5475,6.45,-3.4122074398768483,170.81693683295413
17,7ed_32b_13ea,58.96324999999999,53.83043340241332,37.0825,7.08,-3.711743563763671,149.87618340241332
18,21ed_29b_3ea,52.737750000000005,10.973901724782193,5.7425,2.41,-3.0744466841188784,FAIL
19,10ed_41b_3ea,80.31325000000001,53.86788040046851,10.402500000000002,0.86,-3.321918223215693,FAIL
20,5ed_3b_13ea,53.99924999999999,46.81685653001614,55.685,7.74,-3.7236063805512685,156.50110653001613
